Site,date,time,variable,measurement
MC,10/4/2020,9:00:00 PM,SpC,-0.47862525
MC,10/4/2020,9:30:00 PM,SpC,-0.47862525
MC,10/4/2020,10:00:00 PM,SpC,-0.661233277
MC,10/4/2020,10:30:00 PM,SpC,-0.661233277
MC,10/4/2020,11:00:00 PM,SpC,-0.843841304
MC,10/4/2020,11:30:00 PM,SpC,-0.843841304
MC,10/3/2020,12:00:00 AM,pH,1.170128846
MC,10/3/2020,12:30:00 AM,pH,1.170128846
MC,10/3/2020,1:00:00 AM,pH,1.170128846
MC,10/3/2020,1:30:00 AM,pH,1.170128846
MC,10/3/2020,2:00:00 AM,pH,1.170128846
MC,10/3/2020,2:30:00 AM,pH,1.170128846
MC,10/3/2020,3:00:00 AM,pH,1.170128846
MC,10/3/2020,3:30:00 AM,pH,1.170128846
MC,10/3/2020,4:00:00 AM,pH,1.170128846
MC,10/3/2020,4:30:00 AM,pH,1.170128846
MC,10/3/2020,5:00:00 AM,pH,-0.078885091
MC,10/3/2020,5:30:00 AM,pH,-0.078885091
MC,10/3/2020,6:00:00 AM,pH,-0.078885091
MC,10/3/2020,6:30:00 AM,pH,-0.078885091
MC,10/3/2020,7:00:00 AM,pH,-0.078885091
MC,10/3/2020,7:30:00 AM,pH,-1.327899027
MC,10/3/2020,8:00:00 AM,pH,-1.327899027
MC,10/3/2020,8:30:00 AM,pH,-1.327899027
MC,10/3/2020,9:00:00 AM,pH,-1.327899027
MC,10/3/2020,9:30:00 AM,pH,-1.327899027
MC,10/3/2020,10:00:00 AM,pH,-1.327899027
MC,10/3/2020,10:30:00 AM,pH,-1.327899027
MC,10/3/2020,11:00:00 AM,pH,-1.327899027
MC,10/3/2020,11:30:00 AM,pH,-1.327899027
MC,10/3/2020,12:00:00 PM,pH,-1.327899027
MC,10/3/2020,12:30:00 PM,pH,-1.327899027
MC,10/3/2020,1:00:00 PM,pH,-1.327899027
MC,10/3/2020,1:30:00 PM,pH,-2.576912963
MC,10/3/2020,2:00:00 PM,pH,-1.327899027
MC,10/3/2020,2:30:00 PM,pH,-1.327899027
MC,10/3/2020,3:00:00 PM,pH,-1.327899027
MC,10/3/2020,3:30:00 PM,pH,-1.327899027
MC,10/3/2020,4:00:00 PM,pH,-1.327899027
MC,10/3/2020,4:30:00 PM,pH,-1.327899027
MC,10/3/2020,5:00:00 PM,pH,-1.327899027
MC,10/3/2020,5:30:00 PM,pH,-0.078885091
MC,10/3/2020,6:00:00 PM,pH,-0.078885091
MC,10/3/2020,6:30:00 PM,pH,-0.078885091
MC,10/3/2020,7:00:00 PM,pH,-0.078885091
MC,10/3/2020,7:30:00 PM,pH,1.170128846
MC,10/3/2020,8:00:00 PM,pH,1.170128846
MC,10/3/2020,8:30:00 PM,pH,1.170128846
MC,10/3/2020,9:00:00 PM,pH,1.170128846
MC,10/3/2020,9:30:00 PM,pH,1.170128846
MC,10/3/2020,10:00:00 PM,pH,1.170128846
MC,10/3/2020,10:30:00 PM,pH,1.170128846
